task_id,task_description,category,priority,status,created_date,due_date,estimated_hours,story_points,assignee_id,assignee_experience_years,assignee_open_tasks,days_to_deadline
TASK-11575,Add role-based access control to the landing page,Feature,Medium,Completed,2026-06-01,2026-07-16,15.7,5.0,USER-11,0.8,18,45
TASK-16123,Fix incorrect totals displayed in the file upload service after a refund,Bug Fix,High,Completed,2026-06-29,2026-07-03,4.6,13.0,USER-09,9.2,9,4
TASK-13684,Review and improve test coverage of the file upload service,Testing,Medium,Open,2026-03-08,2026-03-16,8.9,2.0,USER-19,6.8,7,8
TASK-17396,Analyze current behavior of the report module,Research,Medium,Blocked,2026-05-10,2026-05-17,6.1,8.0,USER-13,12.6,14,7
TASK-10425,Write unit tests covering edge cases of the analytics pipeline,Testing,Low,Blocked,2026-04-25,2026-05-06,7.3,2.0,USER-15,3.1,9,11
TASK-15288,Add multi-language support to the order tracking page,Feature,Low,Completed,2026-01-27,2026-02-07,8.9,2.0,USER-05,2.8,3,11
TASK-16929,Document and fix the issues found in the login page,Bug Fix,Critical,In Progress,2026-06-06,2026-06-07,2.0,1.0,USER-01,5.9,15,1
TASK-15879,Rotate credentials and update secrets for the notification service,Maintenance,Low,Completed,2026-05-31,2026-08-12,1.1,13.0,USER-16,3.2,2,73
TASK-10228,Set up monitoring for the report module,Feature,Low,In Progress,2026-03-06,2026-03-11,11.5,2.0,USER-12,14.6,4,5
TASK-14376,Improve performance of the mobile app,Maintenance,Low,Open,2026-01-21,2026-02-01,2.5,8.0,USER-06,2.8,5,11
TASK-11302,Resolve the 500 error thrown by the notification service under heavy load,Bug Fix,Medium,In Progress,2026-03-02,2026-03-09,6.1,2.0,USER-19,6.8,7,7
TASK-10693,Create end-to-end test scenarios for the checkout flow,Testing,Low,Open,2026-02-26,2026-03-25,3.8,1.0,USER-05,2.8,3,27
TASK-11041,Migrate the user dashboard to the new cloud infrastructure,Deployment,Critical,Completed,2026-06-04,2026-06-10,3.4,1.0,USER-21,9.4,8,6
TASK-12718,Update the report module after the recent review comments,Documentation,Low,Open,2026-05-19,2026-06-05,6.5,2.0,USER-22,2.5,15,17
TASK-16008,Create onboarding notes explaining how the landing page works,Documentation,Critical,In Progress,2026-06-13,2026-06-15,4.3,5.0,USER-09,9.2,9,2
TASK-13148,Evaluate third-party libraries for improving the landing page,Research,Low,Blocked,2026-03-27,2026-06-25,5.1,13.0,USER-11,0.8,18,90
TASK-15547,Perform load testing on the billing system before release,Testing,Medium,Completed,2026-02-18,2026-02-28,8.0,8.0,USER-07,1.3,19,10
TASK-16107,Fix the timeout issue in the user dashboard when the network is slow,Bug Fix,Medium,Blocked,2026-05-13,2026-05-18,8.4,13.0,USER-23,4.7,3,5
TASK-16140,Update the API reference after the recent changes to the billing system,Documentation,High,Open,2026-02-07,2026-02-15,4.8,5.0,USER-01,5.9,15,8
TASK-15579,Correct the wrong currency formatting shown on the notification service,Bug Fix,Critical,Open,2026-02-21,2026-02-23,3.4,1.0,USER-17,4.9,20,2
TASK-11128,Optimize slow database queries behind the report module,Maintenance,Low,Completed,2026-05-19,2026-06-06,3.4,2.0,USER-24,5.8,14,18
TASK-16741,Fix incorrect totals displayed in the email scheduler after a refund,Bug Fix,Critical,Blocked,2026-06-13,2026-06-14,3.2,1.0,USER-17,4.9,20,1
TASK-16368,Check why the order tracking page is not working as expected,Testing,Critical,Completed,2026-01-31,2026-02-01,2.0,1.0,USER-13,12.6,14,1
TASK-13094,Implement two-factor authentication in the inventory module,Feature,Low,In Progress,2026-06-20,2026-06-28,6.4,1.0,USER-11,0.8,18,8
TASK-10058,Improve error handling in the database layer,Maintenance,Medium,In Progress,2026-02-24,2026-03-19,7.4,5.0,USER-21,9.4,8,23
TASK-12689,Investigate and fix duplicate records created by the inventory module,Testing,High,Open,2026-06-23,2026-06-27,6.5,2.0,USER-12,14.6,4,4
TASK-17969,Investigate the slow response of the chat widget,Bug Fix,Medium,In Progress,2026-06-14,2026-06-24,7.7,2.0,USER-21,9.4,8,10
TASK-11261,Investigate and fix duplicate records created by the inventory module,Bug Fix,High,In Progress,2026-01-09,2026-01-12,3.0,2.0,USER-12,14.6,4,3
TASK-11405,Archive old logs generated by the notification service,Maintenance,Medium,Open,2026-06-03,2026-06-18,4.4,1.0,USER-22,2.5,15,15
TASK-11918,Rotate credentials and update secrets for the authentication service,Maintenance,Medium,In Progress,2026-04-19,2026-05-02,6.6,13.0,USER-25,7.1,17,13
TASK-10096,Verify the chat widget works after the latest update,Deployment,Medium,Blocked,2026-06-11,2026-06-17,3.2,8.0,USER-15,3.1,9,6
TASK-17037,Document and fix the issues found in the mobile app,Bug Fix,Medium,Open,2026-05-08,2026-05-12,4.8,13.0,USER-20,4.7,12,4
TASK-10960,Add multi-language support to the database layer,Feature,High,In Progress,2026-01-11,2026-01-16,10.6,3.0,USER-05,2.8,3,5
TASK-14730,Add multi-language support to the admin panel,Feature,Medium,Blocked,2026-05-06,2026-05-22,9.9,13.0,USER-25,7.1,17,16
TASK-16424,Add multi-language support to the search API,Feature,Medium,In Progress,2026-02-06,2026-02-20,10.7,2.0,USER-03,11.1,12,14
TASK-10877,Investigate and fix duplicate records created by the mobile app,Bug Fix,High,Blocked,2026-01-08,2026-01-11,1.6,13.0,USER-22,2.5,15,3
TASK-17018,Analyze current behavior of the user dashboard,Testing,Medium,Blocked,2026-02-23,2026-03-02,5.1,13.0,USER-21,9.4,8,7
TASK-10156,URGENT: Fix broken layout of the order tracking page on small screens,Bug Fix,Critical,Completed,2026-03-14,2026-03-16,6.1,1.0,USER-03,11.1,12,2
TASK-12142,URGENT: Create an auto-save draft feature for the notification service,Feature,High,Completed,2026-05-22,2026-05-29,25.5,8.0,USER-02,14.3,19,7
TASK-13439,Set up the staging environment for the mobile app,Deployment,Critical,Completed,2026-07-02,2026-07-05,4.6,1.0,USER-18,8.1,15,3
TASK-10611,Add multi-language support to the email scheduler,Maintenance,Medium,Completed,2026-04-27,2026-05-20,12.8,3.0,USER-01,5.9,15,23
TASK-14641,Set up monitoring for the landing page,Maintenance,Low,Completed,2026-06-25,2026-07-17,3.3,2.0,USER-11,0.8,18,22
TASK-13025,Update the API reference after the recent changes to the file upload service,Documentation,Medium,In Progress,2026-04-28,2026-05-06,2.6,1.0,USER-25,7.1,17,8
TASK-11188,Add bulk export to CSV from the notification service,Feature,Low,In Progress,2026-06-09,2026-06-24,5.5,1.0,USER-13,12.6,14,15
TASK-14296,Implement two-factor authentication in the billing system,Feature,High,Open,2026-05-12,2026-05-15,14.4,3.0,USER-02,14.3,19,3
TASK-10447,Research caching strategies to speed up the notification service,Research,Low,In Progress,2026-04-24,2026-05-06,4.3,1.0,USER-10,10.8,7,12
TASK-12776,Write the user guide for the admin panel,Documentation,Medium,Completed,2026-01-07,2026-01-11,3.8,1.0,USER-25,7.1,17,4
TASK-12795,Set up the staging environment for the checkout flow,Deployment,High,Blocked,2026-02-02,2026-02-06,7.8,5.0,USER-18,8.1,15,4
TASK-14597,Add bulk export to CSV from the chat widget,Feature,Critical,In Progress,2026-01-24,2026-01-25,6.6,5.0,USER-08,13.1,7,1
TASK-10592,Fix broken layout of the inventory module on small screens,Bug Fix,Medium,In Progress,2026-02-11,2026-02-14,3.7,1.0,USER-17,4.9,20,3
TASK-13482,Perform load testing on the checkout flow before release,Testing,Medium,Open,2026-03-15,2026-03-22,3.1,5.0,USER-04,9.2,20,7
TASK-16908,Add bulk export to CSV from the report module,Feature,Low,Open,2026-05-16,2026-06-17,10.8,8.0,USER-07,1.3,19,32
TASK-17276,Investigate the slow response of the inventory module,Bug Fix,Critical,In Progress,2026-04-27,2026-04-28,4.0,5.0,USER-01,5.9,15,1
TASK-12215,[HIGH IMPACT] Fix broken layout of the report module on small screens,Bug Fix,Critical,Completed,2026-06-29,2026-07-01,2.6,1.0,USER-12,14.6,4,2
TASK-14532,[HIGH IMPACT] Patch the memory leak in the search API background worker,Bug Fix,Critical,Completed,2026-04-04,2026-04-05,4.5,1.0,USER-01,5.9,15,1
TASK-17229,Update the API reference after the recent changes to the billing system,Documentation,Low,Blocked,2026-01-22,2026-02-15,4.7,8.0,USER-01,5.9,15,24
TASK-10847,Update dependencies and re-test the billing system,Deployment,High,Blocked,2026-01-20,2026-01-24,6.9,3.0,USER-11,0.8,18,4
TASK-15515,Add integration tests for the notification service endpoints,Testing,Medium,In Progress,2026-01-19,2026-01-30,14.6,3.0,USER-13,12.6,14,11
TASK-10624,Improve performance of the profile settings,Feature,Medium,Open,2026-02-24,2026-03-29,7.1,2.0,USER-12,14.6,4,33
TASK-17475,Fix the crash in the user dashboard when the user submits an empty form,Bug Fix,Low,Open,2026-05-19,2026-06-05,2.5,1.0,USER-22,2.5,15,17
TASK-16101,Update the API reference after the recent changes to the chat widget,Documentation,Low,Open,2026-03-14,2026-03-31,2.6,1.0,USER-10,10.8,7,17
TASK-16692,Improve error handling in the mobile app,Maintenance,Medium,Open,2026-02-07,2026-03-21,9.8,2.0,USER-17,4.9,20,42
TASK-14001,Optimize slow database queries behind the order tracking page,Maintenance,Low,Completed,2026-03-11,2026-04-13,7.5,3.0,USER-13,12.6,14,33
TASK-13857,Perform load testing on the mobile app before release,Testing,Critical,Completed,2026-04-19,2026-04-20,11.0,3.0,USER-02,14.3,19,1
TASK-10756,Set up automated regression tests for the user dashboard,Testing,High,Completed,2026-02-03,2026-03-01,11.6,2.0,USER-19,6.8,7,26
TASK-13322,Create onboarding notes explaining how the login page works,Documentation,Low,In Progress,2026-04-04,2026-04-12,3.2,3.0,USER-06,2.8,5,8
TASK-16573,Improve error handling in the report module,Maintenance,Medium,In Progress,2026-04-18,2026-04-30,5.7,2.0,USER-13,12.6,14,12
TASK-11954,Investigate and fix duplicate records created by the checkout flow,Bug Fix,Medium,In Progress,2026-04-21,2026-04-28,4.1,8.0,USER-16,3.2,2,7
TASK-17117,Add role-based access control to the user dashboard,Feature,High,Open,2026-03-23,2026-04-08,17.9,13.0,USER-07,1.3,19,16
TASK-13428,Set up the staging environment for the notification service,Deployment,Medium,In Progress,2026-02-28,2026-03-08,6.2,2.0,USER-22,2.5,15,8
TASK-15561,Archive old logs generated by the profile settings,Maintenance,Low,Open,2026-01-26,2026-02-16,3.1,8.0,USER-13,12.6,14,21
TASK-16625,Set up monitoring for the database layer,Maintenance,Medium,Open,2026-03-15,2026-04-11,9.9,2.0,USER-08,13.1,7,27
TASK-17584,Correct the wrong currency formatting shown on the payment gateway,Bug Fix,High,Completed,2026-05-04,2026-05-06,4.0,2.0,USER-19,6.8,7,2
TASK-15403,Refactor the email scheduler to reduce technical debt,Maintenance,Low,Open,2026-02-18,2026-03-12,3.0,5.0,USER-25,7.1,17,22
TASK-15783,Perform load testing on the billing system before release,Testing,High,Open,2026-02-02,2026-02-04,8.6,13.0,USER-11,0.8,18,2
TASK-14394,Add role-based access control to the order tracking page,Feature,High,In Progress,2026-01-07,2026-02-03,10.7,8.0,USER-16,3.2,2,27
TASK-11971,ASAP - Deploy the latest release of the analytics pipeline to production,Deployment,High,Open,2026-04-01,2026-04-07,9.1,2.0,USER-12,14.6,4,6
TASK-10764,Fix incorrect totals displayed in the inventory module after a refund,Bug Fix,Medium,Open,2026-06-14,2026-06-22,4.5,1.0,USER-18,8.1,15,8
TASK-14556,Containerize the analytics pipeline and update the deployment scripts,Deployment,Low,Open,2026-05-14,2026-06-08,6.1,2.0,USER-24,5.8,14,25
TASK-14755,Archive old logs generated by the file upload service,Maintenance,Medium,Blocked,2026-02-06,2026-02-16,4.9,1.0,USER-15,3.1,9,10
TASK-11699,Optimize slow database queries behind the database layer,Maintenance,Low,Open,2026-02-20,2026-03-04,4.1,1.0,USER-11,0.8,18,12
TASK-14907,Implement pagination and lazy loading for the user dashboard,Feature,Medium,Open,2026-01-09,2026-01-31,13.7,3.0,USER-19,6.8,7,22
TASK-11259,Deploy the latest release of the analytics pipeline to production,Deployment,Critical,Completed,2026-03-30,2026-04-01,1.8,1.0,USER-21,9.4,8,2
TASK-17493,[HIGH IMPACT] Fix the timeout issue in the profile settings when the network is slow,Bug Fix,Critical,Completed,2026-03-03,2026-03-05,3.3,13.0,USER-19,6.8,7,2
TASK-11383,Review recent changes made to the report module,Testing,Medium,In Progress,2026-04-01,2026-04-04,4.9,1.0,USER-04,9.2,20,3
TASK-11024,Migrate the file upload service to the new cloud infrastructure,Deployment,High,Open,2026-02-16,2026-02-20,17.8,1.0,USER-13,12.6,14,4
TASK-13898,Write unit tests covering edge cases of the login page,Deployment,Low,Open,2026-03-08,2026-03-14,7.1,1.0,USER-06,2.8,5,6
TASK-10752,Prepare the database layer for the next release,Deployment,Critical,Completed,2026-06-03,2026-06-04,10.5,2.0,USER-04,9.2,20,1
TASK-13131,Add multi-language support to the landing page,Feature,Low,Open,2026-06-26,2026-07-21,7.6,2.0,USER-25,7.1,17,25
TASK-16056,Create an auto-save draft feature for the chat widget,Feature,Low,Completed,2026-05-14,2026-06-02,5.4,1.0,USER-18,8.1,15,19
TASK-10351,Deploy the latest release of the chat widget to production,Deployment,High,Completed,2026-03-25,2026-03-28,5.5,13.0,USER-18,8.1,15,3
TASK-17191,Add multi-language support to the payment gateway,Feature,High,Blocked,2026-07-01,2026-07-07,21.0,5.0,USER-10,10.8,7,6
TASK-16414,Analyze user feedback collected from the notification service,Bug Fix,Low,Completed,2026-06-11,2026-07-04,3.0,1.0,USER-01,5.9,15,23
TASK-11882,Fix the crash in the admin panel when the user submits an empty form,Bug Fix,High,Open,2026-05-27,2026-06-01,3.2,13.0,USER-08,13.1,7,5
TASK-14198,Improve performance of the checkout flow,Maintenance,Medium,In Progress,2026-05-25,2026-06-07,8.9,2.0,USER-09,9.2,9,13
TASK-12680,Fix broken layout of the checkout flow on small screens,Bug Fix,Critical,Completed,2026-03-07,2026-03-08,2.7,1.0,USER-18,8.1,15,1
TASK-14004,Update the user dashboard after the recent review comments,Feature,Medium,Open,2026-06-27,2026-07-02,21.0,8.0,USER-15,3.1,9,5
TASK-17369,Document and fix the issues found in the chat widget,Documentation,Low,Completed,2026-04-30,2026-05-09,8.3,2.0,USER-20,4.7,12,9
TASK-10561,Analyze current behavior of the search API,Testing,Medium,Completed,2026-05-19,2026-05-26,5.9,1.0,USER-23,4.7,3,7
TASK-14526,Fix broken layout of the search API on small screens,Bug Fix,High,Completed,2026-06-19,2026-06-22,1.1,3.0,USER-13,12.6,14,3
TASK-14334,Create an auto-save draft feature for the chat widget,Research,Medium,Open,2026-01-05,2026-01-19,16.5,5.0,USER-21,9.4,8,14
TASK-14176,Document and fix the issues found in the search API,Documentation,Low,Completed,2026-03-10,2026-03-25,2.9,1.0,USER-08,13.1,7,15
TASK-13624,Analyze current behavior of the billing system,Testing,Medium,Open,2026-03-18,2026-03-26,8.6,2.0,USER-16,3.2,2,8
TASK-13320,[HIGH IMPACT] Correct the wrong currency formatting shown on the notification service,Bug Fix,Critical,Completed,2026-02-08,2026-02-09,4.4,5.0,USER-10,10.8,7,1
TASK-11047,Review and improve test coverage of the database layer,Testing,Low,Open,2026-06-24,2026-07-04,3.9,8.0,USER-19,6.8,7,10
TASK-13803,Investigate and fix duplicate records created by the chat widget,Bug Fix,Critical,In Progress,2026-02-16,2026-02-18,4.2,2.0,USER-14,3.6,18,2
TASK-16066,Migrate the payment gateway to the new cloud infrastructure,Deployment,Critical,Completed,2026-04-21,2026-04-22,6.8,1.0,USER-15,3.1,9,1
TASK-10414,ASAP - Patch the memory leak in the landing page background worker,Bug Fix,Critical,Completed,2026-02-14,2026-02-19,15.2,3.0,USER-19,6.8,7,5
TASK-16973,Write the user guide for the email scheduler,Documentation,Low,Blocked,2026-02-04,2026-02-13,4.6,1.0,USER-12,14.6,4,9
TASK-15671,Deploy the latest release of the email scheduler to production,Deployment,Critical,Completed,2026-01-22,2026-01-24,3.2,1.0,USER-04,9.2,20,2
TASK-15934,URGENT: Patch the memory leak in the user dashboard background worker,Bug Fix,Critical,Open,2026-03-06,2026-03-09,14.3,3.0,USER-19,6.8,7,3
TASK-11992,Create an auto-save draft feature for the profile settings,Feature,Low,In Progress,2026-04-29,2026-05-08,5.1,8.0,USER-12,14.6,4,9
TASK-14908,Write unit tests covering edge cases of the order tracking page,Testing,Critical,In Progress,2026-03-02,2026-03-04,8.4,2.0,USER-02,14.3,19,2
TASK-13217,Investigate and fix duplicate records created by the checkout flow,Bug Fix,Critical,Completed,2026-01-17,2026-01-21,4.0,1.0,USER-25,7.1,17,4
TASK-13203,Implement two-factor authentication in the admin panel,Feature,High,In Progress,2026-06-03,2026-07-04,23.3,5.0,USER-25,7.1,17,31
TASK-13542,Fix broken layout of the payment gateway on small screens,Bug Fix,High,Open,2026-07-02,2026-07-06,1.8,1.0,USER-04,9.2,20,4
TASK-15660,Implement two-factor authentication in the landing page,Feature,Critical,Open,2026-01-07,2026-01-17,39.3,13.0,USER-08,13.1,7,10
TASK-11790,Implement two-factor authentication in the user dashboard,Feature,Low,Completed,2026-01-13,2026-01-27,10.2,2.0,USER-21,9.4,8,14
TASK-16517,Correct the wrong currency formatting shown on the chat widget,Bug Fix,Medium,In Progress,2026-04-17,2026-04-24,4.6,13.0,USER-02,14.3,19,7
TASK-12629,Review and improve test coverage of the email scheduler,Testing,High,Open,2026-03-19,2026-03-22,4.4,1.0,USER-03,11.1,12,3
TASK-15106,Optimize slow database queries behind the checkout flow,Maintenance,Low,Completed,2026-06-19,2026-07-13,3.3,1.0,USER-11,0.8,18,24
TASK-12447,Set up monitoring for the file upload service,Maintenance,Medium,Completed,2026-03-07,2026-03-14,13.3,13.0,USER-04,9.2,20,7
TASK-10842,Patch the memory leak in the profile settings background worker,Bug Fix,High,In Progress,2026-03-26,2026-03-29,6.2,3.0,USER-25,7.1,17,3
TASK-11146,Fix broken layout of the checkout flow on small screens,Bug Fix,Critical,Open,2026-03-05,2026-03-06,3.5,1.0,USER-20,4.7,12,1
TASK-13071,Perform load testing on the login page before release,Testing,Medium,Open,2026-06-12,2026-07-11,7.3,1.0,USER-12,14.6,4,29
TASK-12358,Set up automated regression tests for the notification service,Deployment,Low,In Progress,2026-01-23,2026-02-02,4.4,1.0,USER-10,10.8,7,10
TASK-16596,Upgrade outdated dependencies used by the landing page,Maintenance,Medium,Open,2026-05-27,2026-06-07,4.3,5.0,USER-13,12.6,14,11
TASK-11253,Fix broken layout of the landing page on small screens,Bug Fix,Critical,In Progress,2026-05-01,2026-05-02,1.8,8.0,USER-07,1.3,19,1
TASK-14836,Rotate credentials and update secrets for the authentication service,Maintenance,Medium,Open,2026-04-19,2026-04-29,3.4,1.0,USER-11,0.8,18,10
TASK-15668,Investigate the slow response of the file upload service,Maintenance,Low,Open,2026-05-15,2026-06-18,4.3,3.0,USER-01,5.9,15,34
TASK-14863,[HIGH IMPACT] Add bulk export to CSV from the payment gateway,Feature,Critical,Completed,2026-01-26,2026-01-30,26.9,8.0,USER-12,14.6,4,4
TASK-14074,Implement pagination and lazy loading for the order tracking page,Feature,Medium,In Progress,2026-07-01,2026-08-06,17.5,1.0,USER-04,9.2,20,36
TASK-15425,Add bulk export to CSV from the report module,Feature,Medium,Open,2026-04-27,2026-05-14,14.2,5.0,USER-11,0.8,18,17
TASK-16651,Fix incorrect totals displayed in the analytics pipeline after a refund,Bug Fix,Critical,Completed,2026-03-01,2026-03-04,5.1,1.0,USER-14,3.6,18,3
TASK-10378,Create onboarding notes explaining how the landing page works,Documentation,Low,Completed,2026-05-11,2026-05-23,6.7,2.0,USER-21,9.4,8,12
TASK-14466,Implement dark mode support for the billing system,Feature,Medium,Open,2026-03-19,2026-04-14,12.6,2.0,USER-19,6.8,7,26
TASK-15471,Add multi-language support to the mobile app,Feature,High,Completed,2026-06-18,2026-06-28,25.0,8.0,USER-10,10.8,7,10
TASK-11335,Build a filtering and sorting option for the landing page,Feature,Low,Open,2026-03-16,2026-04-11,8.6,5.0,USER-14,3.6,18,26
TASK-11223,Create an auto-save draft feature for the search API,Feature,Medium,Open,2026-06-22,2026-07-03,14.3,3.0,USER-11,0.8,18,11
TASK-12273,Refactor the email scheduler to reduce technical debt,Maintenance,Low,Open,2026-01-14,2026-01-31,4.3,3.0,USER-22,2.5,15,17
TASK-13621,Prepare a troubleshooting FAQ for the analytics pipeline,Documentation,Medium,Open,2026-07-02,2026-08-02,3.5,1.0,USER-11,0.8,18,31
TASK-15802,ASAP - Migrate the billing system to the new cloud infrastructure,Deployment,High,In Progress,2026-03-03,2026-03-13,6.7,8.0,USER-17,4.9,20,10
TASK-14423,Roll back the faulty release of the report module and verify stability,Deployment,High,Completed,2026-05-10,2026-05-15,5.6,1.0,USER-15,3.1,9,5
TASK-13142,Clean up and reorganize the checkout flow,Documentation,Low,In Progress,2026-05-04,2026-05-15,2.6,1.0,USER-05,2.8,3,11
TASK-15798,Resolve the 500 error thrown by the search API under heavy load,Bug Fix,Critical,Completed,2026-04-08,2026-04-09,3.2,1.0,USER-15,3.1,9,1
TASK-15519,Resolve the 500 error thrown by the search API under heavy load,Bug Fix,Critical,Open,2026-04-03,2026-04-04,2.8,13.0,USER-08,13.1,7,1
TASK-14056,Document and fix the issues found in the report module,Bug Fix,High,Open,2026-05-15,2026-05-23,6.1,5.0,USER-01,5.9,15,8
TASK-12304,Document the deployment steps for the chat widget,Documentation,Medium,In Progress,2026-02-01,2026-02-13,3.4,1.0,USER-14,3.6,18,12
TASK-16072,Prototype a machine learning approach for the inventory module,Research,Low,In Progress,2026-01-11,2026-02-14,10.9,1.0,USER-09,9.2,9,34
TASK-17163,Containerize the inventory module and update the deployment scripts,Deployment,Medium,Open,2026-01-29,2026-02-07,5.2,1.0,USER-14,3.6,18,9
TASK-12083,[HIGH IMPACT] Implement two-factor authentication in the report module,Feature,High,In Progress,2026-01-30,2026-02-04,10.7,2.0,USER-11,0.8,18,5
TASK-11501,Update dependencies and re-test the chat widget,Maintenance,Low,Completed,2026-02-12,2026-02-28,4.8,1.0,USER-14,3.6,18,16
TASK-13050,Verify the email scheduler works after the latest update,Bug Fix,Medium,Open,2026-01-13,2026-01-21,5.1,5.0,USER-03,11.1,12,8
TASK-15916,Analyze user feedback collected from the landing page,Research,Low,Completed,2026-02-22,2026-03-29,5.4,1.0,USER-05,2.8,3,35
TASK-13765,Prototype a machine learning approach for the checkout flow,Research,Low,Blocked,2026-01-13,2026-03-07,3.7,3.0,USER-06,2.8,5,53
TASK-12809,Improve performance of the database layer,Deployment,High,Open,2026-05-04,2026-05-12,6.3,2.0,USER-18,8.1,15,8
TASK-13550,Set up automated regression tests for the authentication service,Testing,Medium,Completed,2026-04-28,2026-05-06,3.1,1.0,USER-03,11.1,12,8
TASK-16945,Investigate and fix duplicate records created by the report module,Bug Fix,Critical,Completed,2026-02-12,2026-02-13,3.0,5.0,USER-17,4.9,20,1
TASK-13238,Evaluate third-party libraries for improving the admin panel,Research,Medium,Open,2026-04-06,2026-04-14,5.7,8.0,USER-06,2.8,5,8
TASK-16308,Investigate the slow response of the landing page,Maintenance,Low,In Progress,2026-01-20,2026-02-07,3.2,1.0,USER-20,4.7,12,18
TASK-17814,Set up automated regression tests for the landing page,Testing,Medium,Blocked,2026-04-16,2026-04-19,5.4,13.0,USER-04,9.2,20,3
TASK-14767,Implement dark mode support for the landing page,Feature,Low,Completed,2026-05-10,2026-06-27,11.0,2.0,USER-18,8.1,15,48
TASK-14560,Build a filtering and sorting option for the billing system,Feature,Medium,Completed,2026-06-11,2026-06-29,11.0,13.0,USER-01,5.9,15,18
TASK-11175,Patch the memory leak in the notification service background worker,Bug Fix,Low,In Progress,2026-02-15,2026-02-20,3.1,1.0,USER-11,0.8,18,5
TASK-14987,Add role-based access control to the inventory module,Feature,Low,Blocked,2026-05-11,2026-06-09,6.9,5.0,USER-06,2.8,5,29
TASK-11729,Add code comments and docstrings to the email scheduler module,Documentation,Low,Completed,2026-02-28,2026-03-05,3.4,1.0,USER-08,13.1,7,5
TASK-17074,Benchmark current performance of the search API and report findings,Research,Low,Open,2026-01-19,2026-03-23,12.7,8.0,USER-21,9.4,8,63
TASK-11934,Investigate the slow response of the analytics pipeline,Maintenance,Medium,Completed,2026-03-13,2026-03-30,4.5,8.0,USER-01,5.9,15,17
TASK-14207,Analyze user feedback collected from the analytics pipeline,Research,High,Completed,2026-06-28,2026-07-04,18.6,2.0,USER-19,6.8,7,6
TASK-14915,Add code comments and docstrings to the billing system module,Documentation,High,Completed,2026-03-07,2026-03-09,4.6,8.0,USER-13,12.6,14,2
TASK-17652,Set up monitoring for the billing system,Deployment,High,Open,2026-05-07,2026-05-11,3.9,13.0,USER-06,2.8,5,4
TASK-10547,Improve performance of the landing page,Maintenance,Medium,In Progress,2026-01-26,2026-02-01,5.6,1.0,USER-16,3.2,2,6
TASK-15272,Roll back the faulty release of the email scheduler and verify stability,Deployment,Medium,In Progress,2026-04-20,2026-05-02,4.6,1.0,USER-10,10.8,7,12
TASK-11888,Set up monitoring for the admin panel,Maintenance,Low,Open,2026-01-08,2026-01-16,7.0,1.0,USER-17,4.9,20,8
TASK-13639,Improve performance of the authentication service,Feature,Medium,Completed,2026-04-24,2026-04-28,10.8,8.0,USER-20,4.7,12,4
TASK-17722,Implement two-factor authentication in the search API,Feature,Critical,Completed,2026-05-20,2026-05-24,12.8,3.0,USER-05,2.8,3,4
TASK-10172,Create an auto-save draft feature for the user dashboard,Feature,High,In Progress,2026-04-27,2026-05-18,18.6,8.0,USER-14,3.6,18,21
TASK-14099,Migrate the billing system to the new cloud infrastructure,Deployment,Medium,In Progress,2026-02-18,2026-02-27,8.7,2.0,USER-16,3.2,2,9
TASK-13715,Investigate and fix duplicate records created by the email scheduler,Bug Fix,Critical,Completed,2026-04-17,2026-04-18,4.3,1.0,USER-19,6.8,7,1
TASK-16423,Prepare the admin panel for the next release,Testing,High,Completed,2026-02-20,2026-02-27,8.1,3.0,USER-06,2.8,5,7
TASK-15080,Add role-based access control to the order tracking page,Feature,Medium,Blocked,2026-03-03,2026-04-08,11.1,2.0,USER-03,11.1,12,36
TASK-17834,Implement two-factor authentication in the chat widget,Feature,Medium,Open,2026-01-20,2026-02-20,23.2,5.0,USER-01,5.9,15,31
TASK-17800,Fix the crash in the mobile app when the user submits an empty form,Bug Fix,Medium,Open,2026-04-15,2026-04-26,8.5,5.0,USER-06,2.8,5,11
TASK-14411,Write the user guide for the payment gateway,Documentation,Low,Completed,2026-02-16,2026-03-02,3.1,1.0,USER-25,7.1,17,14
TASK-13819,Improve performance of the file upload service,Feature,Low,Open,2026-05-12,2026-06-29,8.7,2.0,USER-15,3.1,9,48
TASK-13460,Refactor the authentication service to reduce technical debt,Research,Medium,Completed,2026-01-25,2026-02-09,8.9,2.0,USER-14,3.6,18,15
TASK-14322,Investigate and fix duplicate records created by the database layer,Bug Fix,High,Open,2026-05-01,2026-05-05,6.6,2.0,USER-20,4.7,12,4
TASK-16728,Deploy the latest release of the login page to production,Deployment,High,Blocked,2026-02-25,2026-03-02,3.9,1.0,USER-20,4.7,12,5
TASK-16621,Build a filtering and sorting option for the billing system,Feature,Medium,Completed,2026-05-25,2026-06-13,15.7,8.0,USER-13,12.6,14,19
TASK-11038,Set up automated regression tests for the checkout flow,Testing,Medium,Open,2026-04-27,2026-05-15,1.5,1.0,USER-25,7.1,17,18
TASK-10323,Containerize the database layer and update the deployment scripts,Deployment,Low,Blocked,2026-01-20,2026-01-28,1.8,8.0,USER-05,2.8,3,8
TASK-12178,Prepare a troubleshooting FAQ for the file upload service,Documentation,Low,Completed,2026-06-07,2026-06-12,2.6,2.0,USER-02,14.3,19,5
TASK-17839,Add integration tests for the landing page endpoints,Testing,Low,In Progress,2026-04-16,2026-04-24,4.6,1.0,USER-12,14.6,4,8
